prctseq,display_code,code4,polling_location,mentioned_codes,pdf_url,pdf_filename,override_targets,override_vtd20s,override_vtd_names,override_weights,override_source,override_confidence,status
0001,01-01,0101,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0101.pdf,PrecinctPollingLoc_0101.pdf,1,008051,ARL-01,1.0,shelby_geometry_review,core_tn08,resolved
0002,01-02,0102,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0102.pdf,PrecinctPollingLoc_0102.pdf,1,008052,ARL-02,1.0,shelby_geometry_review,core_tn08,resolved
0003,01-03,0103,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0103.pdf,PrecinctPollingLoc_0103.pdf,1,008054,Bartlett 03,1.0,shelby_geometry_review,core_tn08,resolved
0004,01-04,0104,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0104.pdf,PrecinctPollingLoc_0104.pdf,1,008055,Bartlett 04,1.0,shelby_geometry_review,core_tn08,resolved
0005,01-05,0105,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0105.pdf,PrecinctPollingLoc_0105.pdf,1,008056,Bartlett 05,1.0,shelby_geometry_review,core_tn08,resolved
0006,01-06,0106,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0106.pdf,PrecinctPollingLoc_0106.pdf,1,008057,Bartlett 06,1.0,shelby_geometry_review,core_tn08,resolved
0007,01-07,0107,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0107.pdf,PrecinctPollingLoc_0107.pdf,1,008065,Brunswick 1,1.0,shelby_geometry_review,core_tn08,resolved
0008,01-08,0108,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0108.pdf,PrecinctPollingLoc_0108.pdf,1,008058,Bartlett 08,1.0,shelby_geometry_review,core_tn08,resolved
0009,01-09,0109,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0109.pdf,PrecinctPollingLoc_0109.pdf,1,008053,Bartlett 09,1.0,shelby_geometry_review,core_tn08,resolved
0010,01-10,0110,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0110.pdf,PrecinctPollingLoc_0110.pdf,1,008068,Collierville 1,1.0,shelby_geometry_review,sliver_only,resolved
0011,01-11,0111,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0111.pdf,PrecinctPollingLoc_0111.pdf,1,008060,Bartlett 11,1.0,shelby_geometry_review,core_tn08,resolved
0012,02-01,0201,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0201.pdf,PrecinctPollingLoc_0201.pdf,1,008061,Memphis 87-2,1.0,shelby_geometry_review,boundary_split,resolved
0013,02-02,0202,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0202.pdf,PrecinctPollingLoc_0202.pdf,1,008066,Brunswick 2,1.0,shelby_geometry_review,core_tn08,resolved
0014,02-03,0203,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0203.pdf,PrecinctPollingLoc_0203.pdf,1,008069,Collierville 2,1.0,shelby_geometry_review,sliver_only,resolved
0015,02-04,0204,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0204.pdf,PrecinctPollingLoc_0204.pdf,1,008064,Memphis 87-4,1.0,shelby_geometry_review,core_tn08,resolved
0016,02-05,0205,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0205.pdf,PrecinctPollingLoc_0205.pdf,1,008072,Collierville 5,1.0,shelby_geometry_review,boundary_split,resolved
0017,02-06,0206,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0206.pdf,PrecinctPollingLoc_0206.pdf,1,008073,Collierville 6,1.0,shelby_geometry_review,core_tn08,resolved
0018,02-07,0207,The Farms at Bailey Station,0203;0211;0207;0204;0205;0208;0212;1203;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0207.pdf,PrecinctPollingLoc_0207.pdf,0,,,,,,needs_review
0019,02-08,0208,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0208.pdf,PrecinctPollingLoc_0208.pdf,1,008075,Collierville 8,1.0,shelby_geometry_review,core_tn08,resolved
0020,02-09,0209,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0209.pdf,PrecinctPollingLoc_0209.pdf,1,008079,Memphis 96-2,1.0,shelby_geometry_review,core_tn08,resolved
0021,02-10,0210,Christ Community Baptist,0210;0209;0205;0208;0212;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0210.pdf,PrecinctPollingLoc_0210.pdf,0,,,,,,needs_review
0022,02-11,0211,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0211.pdf,PrecinctPollingLoc_0211.pdf,1,008086,Germantown 02,1.0,shelby_geometry_review,core_tn08,resolved
0023,02-12,0212,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0212.pdf,PrecinctPollingLoc_0212.pdf,1,008095,Germantown 12,1.0,shelby_geometry_review,core_tn08,resolved
0024,02-13,0213,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0213.pdf,PrecinctPollingLoc_0213.pdf,1,008063,Bartlett 13,1.0,shelby_geometry_review,core_tn08,resolved
0025,02-14,0214,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0214.pdf,PrecinctPollingLoc_0214.pdf,1,008097,Lakeland 2,1.0,shelby_geometry_review,core_tn08,resolved
0026,02-15,0215,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0215.pdf,PrecinctPollingLoc_0215.pdf,0,,,,,,needs_review
0027,03-01,0301,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0301.pdf,PrecinctPollingLoc_0301.pdf,1,008070,Collierville 3,1.0,shelby_geometry_review,core_tn08,resolved
0028,03-02,0302,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0302.pdf,PrecinctPollingLoc_0302.pdf,1,008076,Cordova 3,1.0,shelby_geometry_review,core_tn08,resolved
0029,03-03,0303,IH Clubhouse,0308;0111;0303;0302;0311;0106;0103;0307;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0303.pdf,PrecinctPollingLoc_0303.pdf,0,,,,,,needs_review
0030,03-04,0304,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0304.pdf,PrecinctPollingLoc_0304.pdf,1,008071,Collierville 4,1.0,shelby_geometry_review,core_tn08,resolved
0031,03-05,0305,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0305.pdf,PrecinctPollingLoc_0305.pdf,1,008078,Cordova 5,1.0,shelby_geometry_review,core_tn08,resolved
0032,03-06,0306,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0306.pdf,PrecinctPollingLoc_0306.pdf,1,008087,Germantown 03,1.0,shelby_geometry_review,core_tn08,resolved
0033,03-07,0307,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0307.pdf,PrecinctPollingLoc_0307.pdf,1,008099,Lucy 3,1.0,shelby_geometry_review,core_tn08,resolved
0034,03-08,0308,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0308.pdf,PrecinctPollingLoc_0308.pdf,1,008091,Germantown 08,1.0,shelby_geometry_review,core_tn08,resolved
0035,03-09,0309,Waypoint Baptist,0309;0606;0305;0310;0609;0602;0502;0608;0604;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0309.pdf,PrecinctPollingLoc_0309.pdf,0,,,,,,needs_review
0036,03-10,0310,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0310.pdf,PrecinctPollingLoc_0310.pdf,1,008093,Germantown 10,1.0,shelby_geometry_review,core_tn08,resolved
