county_fp,county_norm,prctseq,vtd20,vtd_name,weight,source,confidence
037,DAVIDSON,1,001801,1-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,2,001802,1-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,3,001803,1-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,4,001804,1-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,5,001805,1-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,8,001806,2-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,9,001807,2-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,10,001808,2-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,11,001809,2-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,12,001810,2-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,13,001811,3-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,14,001812,3-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,15,001813,3-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,16,001814,3-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,17,001815,3-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,18,001816,3-6,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,21,001817,4-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,22,001818,4-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,23,001819,4-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,24,001821,5-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,25,001822,5-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,26,001823,5-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,27,001824,5-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,28,001825,5-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,32,001826,6-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,33,001827,6-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,34,001828,6-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,35,001829,6-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,36,001830,6-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,40,001831,7-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,41,001832,7-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,42,001833,7-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,43,001834,7-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,44,001835,7-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,45,001836,7-6,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,47,001837,8-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,48,001838,8-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,49,001839,8-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,50,001841,9-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,51,001842,9-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,52,001843,9-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,53,001844,10-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,54,001845,10-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,55,001846,10-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,56,001847,10-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,57,001848,10-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,58,001849,10-6,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,62,001850,11-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,63,001851,11-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,64,001852,11-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,65,001853,11-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,66,001854,12-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,67,001855,12-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,68,001856,12-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,69,001857,12-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,70,001859,13-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,71,001860,13-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,72,001861,13-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,73,001862,13-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,75,001863,14-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,76,001864,14-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,77,001865,14-3,1.0,davidson_current_label_exact,exact_name
