from_year,source_vintage,county_norm,from_precinct_norm,src_vtdst,dst_vtd20,name20,weight,match_method,transfer_method,confidence_tier,match_score
2018,2010,ANDERSON,ANDERSONVILLE,0008,000001,Andersonville,0.9862388592,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,ANDERSONVILLE,0008,000018,Norris,0.0137611408,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,ANDERSONVILLE,0008,000010,Fairview,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,ANDERSONVILLE,0008,000011,Glen Alpine,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,ANDERSONVILLE,0008,000016,Lake City Middle School,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000002,Briceville,0.9997354814,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000020,Norwood,0.0001774324,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000024,Rosedale,0.0000870862,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000016,Lake City Middle School,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000015,Lake City,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000008,Dutch Valley,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,BULL RUN,000003,000003,Bull Run,1.0,manual_override,existing_blockweighted_drawable,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000004,Claxton,0.5928085587,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000003,Bull Run,0.4063773664,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000025,South Clinton,0.0008140749,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000013,Hendrix Creek,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000009,Emory Valley,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000019,North Clinton,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON,0028,000005,Clinton,0.8902791683,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON,0028,000006,Clinton High,0.1097208317,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON,0028,000019,North Clinton,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON,0028,000025,South Clinton,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON,0028,000003,Bull Run,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON,0028,000007,Clinton Middle School,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000006,Clinton High,0.6261093112,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000009,Emory Valley,0.3254227262,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000005,Clinton,0.0484679626,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000008,Dutch Valley,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000012,Glenwood,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000003,Bull Run,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000017,Marlow,0,exact_name,block_chain,high,1.0
2018,2010,ANDERSON,CLINTON MIDDLE,0036,000007,Clinton Middle School,0.7898739271,prefix_name,block_chain,high,0.995
