from_year,source_vintage,county_norm,from_precinct_norm,src_vtdst,dst_vtd20,weight,match_method,confidence_tier,match_score
2018,2010,ANDERSON,ANDERSONVILLE,0008,0008,0.8888889,exact_name,high,1.0
2018,2010,ANDERSON,ANDERSONVILLE,0008,000001,0.10909581,exact_name,high,1.0
2018,2010,ANDERSON,ANDERSONVILLE,0008,000018,0.00201529,exact_name,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,0012,0.90909091,exact_name,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000002,0.09088504,exact_name,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000020,1.613e-05,exact_name,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000024,7.92e-06,exact_name,high,1.0
2018,2010,ANDERSON,BRICEVILLE,0012,000016,0.0,exact_name,high,1.0
2018,2010,ANDERSON,BULL RUN,0002,0002,1.0,exact_name,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,0024,0.80000013,exact_name,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000004,0.118452,exact_name,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000003,0.08118583,exact_name,high,1.0
2018,2010,ANDERSON,CLAXTON,0024,000025,0.00036203,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON,0028,0028,0.90909091,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON,0028,000005,0.08074947,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON,0028,000006,0.01015962,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000006,0.61424299,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000009,0.32279355,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000005,0.06033036,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000012,0.00263303,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON HIGH,0032,000003,7e-08,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON MIDDLE,0008,0008,0.8888889,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON MIDDLE,0008,000001,0.10909581,exact_name,high,1.0
2018,2010,ANDERSON,CLINTON MIDDLE,0008,000018,0.00201529,exact_name,high,1.0
2018,2010,ANDERSON,DUTCH VALLEY,0040,000008,0.51850834,exact_name,high,1.0
2018,2010,ANDERSON,DUTCH VALLEY,0040,000016,0.22615454,exact_name,high,1.0
2018,2010,ANDERSON,DUTCH VALLEY,0040,000007,0.19720132,exact_name,high,1.0
2018,2010,ANDERSON,DUTCH VALLEY,0040,000006,0.05813574,exact_name,high,1.0
2018,2010,ANDERSON,DUTCH VALLEY,0040,000020,7e-08,exact_name,high,1.0
2018,2010,ANDERSON,EMORY VALLEY,0010,0010,0.90909091,exact_name,high,1.0
2018,2010,ANDERSON,EMORY VALLEY,0010,000003,0.08943178,exact_name,high,1.0
2018,2010,ANDERSON,EMORY VALLEY,0010,000025,0.00092085,exact_name,high,1.0
2018,2010,ANDERSON,EMORY VALLEY,0010,000005,0.00055646,exact_name,high,1.0
2018,2010,ANDERSON,EMORY VALLEY,0010,000006,0.0,exact_name,high,1.0
2018,2010,ANDERSON,FAIRVIEW,0048,000010,0.61186967,exact_name,high,1.0
2018,2010,ANDERSON,FAIRVIEW,0048,000004,0.38745876,exact_name,high,1.0
2018,2010,ANDERSON,FAIRVIEW,0048,000011,0.00067145,exact_name,high,1.0
2018,2010,ANDERSON,FAIRVIEW,0048,000001,1.2e-07,exact_name,high,1.0
2018,2010,ANDERSON,GLEN ALPINE,0012,0012,0.90909091,exact_name,high,1.0
2018,2010,ANDERSON,GLEN ALPINE,0012,000002,0.09088504,exact_name,high,1.0
2018,2010,ANDERSON,GLEN ALPINE,0012,000020,1.613e-05,exact_name,high,1.0
2018,2010,ANDERSON,GLEN ALPINE,0012,000024,7.92e-06,exact_name,high,1.0
2018,2010,ANDERSON,GLEN ALPINE,0012,000016,0.0,exact_name,high,1.0
2018,2010,ANDERSON,GLENWOOD,0056,000012,0.95187167,exact_name,high,1.0
2018,2010,ANDERSON,GLENWOOD,0056,000009,0.04342708,exact_name,high,1.0
2018,2010,ANDERSON,GLENWOOD,0056,000022,0.00470125,exact_name,high,1.0
2018,2010,ANDERSON,HENDRIX CREEK,0114,000013,0.91349288,exact_name,high,1.0
2018,2010,ANDERSON,HENDRIX CREEK,0114,000026,0.08644459,exact_name,high,1.0
2018,2010,ANDERSON,HENDRIX CREEK,0114,000009,5.821e-05,exact_name,high,1.0
2018,2010,ANDERSON,HENDRIX CREEK,0114,000021,4.32e-06,exact_name,high,1.0
2018,2010,ANDERSON,HIGHLAND VIEW,0060,000014,0.75701946,exact_name,high,1.0
2018,2010,ANDERSON,HIGHLAND VIEW,0060,000023,0.2429771,exact_name,high,1.0
2018,2010,ANDERSON,HIGHLAND VIEW,0060,000021,3.44e-06,exact_name,high,1.0
2018,2010,ANDERSON,LAKE CITY MS,0016,0016,0.85714286,exact_name,high,1.0
2018,2010,ANDERSON,LAKE CITY MS,0016,000021,0.14285714,exact_name,high,1.0
2018,2010,ANDERSON,MARLOW,0072,000017,0.90084272,exact_name,high,1.0
2018,2010,ANDERSON,MARLOW,0072,000022,0.07194029,exact_name,high,1.0
2018,2010,ANDERSON,MARLOW,0072,000014,0.02667499,exact_name,high,1.0
2018,2010,ANDERSON,MARLOW,0072,000020,0.00052238,exact_name,high,1.0
2018,2010,ANDERSON,MARLOW,0072,000023,1.961e-05,exact_name,high,1.0
2018,2010,ANDERSON,NORRIS,0076,000018,0.99012932,exact_name,high,1.0
2018,2010,ANDERSON,NORRIS,0076,000011,0.00467261,exact_name,high,1.0
2018,2010,ANDERSON,NORRIS,0076,000001,0.00428604,exact_name,high,1.0
2018,2010,ANDERSON,NORRIS,0076,000016,0.00091203,exact_name,high,1.0
2018,2010,ANDERSON,NORTH CLINTON,0080,000019,0.82342184,exact_name,high,1.0
2018,2010,ANDERSON,NORTH CLINTON,0080,000011,0.17636606,exact_name,high,1.0
2018,2010,ANDERSON,NORTH CLINTON,0080,000007,0.00020316,exact_name,high,1.0
2018,2010,ANDERSON,NORTH CLINTON,0080,000005,8.62e-06,exact_name,high,1.0
2018,2010,ANDERSON,NORTH CLINTON,0080,000004,2e-07,exact_name,high,1.0
