district,CVAP_TOT24
1,51704
2,55796
3,51160
4,57981
5,57516
6,55569
7,52819
8,53444
9,55084
10,53636
11,53005
12,49373
13,57661
14,53032
15,66138
16,50680
17,58621
18,55583
19,55354
20,56096
21,52427
22,55310
23,53660
24,53650
25,58241
26,57688
27,57695
28,60757
29,53901
30,53805
31,56873
32,60658
33,54819
34,47387
35,48829
36,58123
37,37048
38,52300
39,57738
40,56530
41,54361
42,57093
43,53048
44,60260
45,53691
46,60758
47,55377
48,63080
49,47388
50,61898
51,69787
52,44689
53,58318
54,45576
55,38635
56,43271
57,51678
58,43521
59,55315
60,50944
61,49321
62,55433
63,57015
64,56691
65,51562
66,54895
67,55235
68,57258
69,53030
70,55927
71,52973
72,58310
73,56451
74,54352
75,51324
76,53634
77,51994
78,51825
79,42780
80,42198
81,55982
82,53540
83,43893
84,48140
85,49060
86,53315
87,46989
88,58509
89,50087
90,43955
91,54627
92,51407
93,47111
94,56160
95,45095
96,64501
97,52692
98,28281
99,53650
