audit_label,scope,lines_year,contest_type,year,district,has_allocated_result,has_reference_result,calc_dem_votes,ref_dem_votes,dem_delta,calc_rep_votes,ref_rep_votes,rep_delta,calc_other_votes,ref_other_votes,other_delta,calc_total_votes,ref_total_votes,total_delta,abs_total_delta,total_delta_pct_of_ref,calc_margin_pct,ref_margin_pct,margin_pct_delta,abs_margin_pct_delta
state_house_2022,state_house,2022,governor,2022,91,True,True,5277.256,175.0,5102.256,1403.439,299.0,1104.439,184.6964,11.0,173.6964,6865.3914,485.0,6380.3914,6380.3914,1315.5446,-56.4253,25.567,-81.9923,81.9923
state_house_2022,state_house,2022,governor,2022,96,True,True,5342.4212,330.0,5012.4212,3130.177,431.0,2699.177,206.1557,9.0,197.1557,8678.7538,770.0,7908.7538,7908.7538,1027.1109,-25.4903,13.1169,-38.6072,38.6072
state_house_2022,state_house,2022,governor,2022,86,True,True,4645.9306,315.0,4330.9306,2502.0644,360.0,2142.0644,170.465,16.0,154.465,7318.46,691.0,6627.46,6627.46,959.1114,-29.294,6.5123,-35.8063,35.8063
state_house_2022,state_house,2022,governor,2022,84,True,True,3752.5812,401.0,3351.5812,659.8483,187.0,472.8483,101.9395,11.0,90.9395,4514.369,599.0,3915.369,3915.369,653.6509,-68.5086,-35.7262,-32.7824,32.7824
state_senate_2022,state_senate,2022,governor,2022,30,True,True,12026.359,1179.0,10847.359,7090.7555,1606.0,5484.7555,478.7931,38.0,440.7931,19595.9077,2823.0,16772.9077,16772.9077,594.1519,-25.1869,15.1258,-40.3127,40.3127
state_senate_2022,state_senate,2022,governor,2022,33,True,True,12819.1365,2810.0,10009.1365,3952.3841,1385.0,2567.3841,406.2223,56.0,350.2223,17177.7429,4251.0,12926.7429,12926.7429,304.0871,-51.6177,-33.5215,-18.0962,18.0962
state_house_2022,state_house,2022,governor,2022,85,True,True,6123.0188,2642.0,3481.0188,1573.8329,1322.0,251.8329,149.7661,52.0,97.7661,7846.6178,4016.0,3830.6178,3830.6178,95.3839,-57.9764,-32.8685,-25.1079,25.1079
state_senate_2022,state_senate,2022,governor,2022,29,True,True,20762.4984,11080.0,9682.4984,6125.3761,2951.0,3174.3761,696.864,388.0,308.864,27584.7384,14419.0,13165.7384,13165.7384,91.3083,-53.0624,-56.377,3.3146,3.3146
state_house_2022,state_house,2022,governor,2022,34,True,True,5553.6898,3356.0,2197.6898,9484.7642,5188.0,4296.7642,324.2196,183.0,141.2196,15362.6736,8727.0,6635.6736,6635.6736,76.0361,25.5885,20.9923,4.5962,4.5962
state_senate_2022,state_senate,2022,us_senate,2024,21,True,True,48116.8939,29551.0,18565.8939,31057.6088,16524.0,14533.6088,1585.3681,984.0,601.3681,80759.8707,47059.0,33700.8707,33700.8707,71.6141,-21.1235,-27.6823,6.5588,6.5588
