review_rank,audit_label,scope,lines_year,precinct_key,name20,district_num,geometry_status,area_weight,normalized_weight,queue_area_weight,weight_delta_vs_queue,intersection_area_m2,suggested_action,map_folder
1,state_senate_2022,state_senate,2022,MONTGOMERY - 006471,Montgomery - 006471,22,dominant,0.66295325,0.66296091,0.662953,2.5e-07,90829328.63,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\001_state_senate_montgomery_006471
1,state_senate_2022,state_senate,2022,MONTGOMERY - 006471,Montgomery - 006471,23,real_secondary,0.3370352,0.33703909,0.337035,2e-07,46176229.1857,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\001_state_senate_montgomery_006471
2,state_house_2022,state_house,2022,DAVIDSON - 001950,Davidson - 001950,52,dominant,0.56694993,0.56694993,0.56695,-7e-08,15412042.7035,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\002_state_house_davidson_001950
2,state_house_2022,state_house,2022,DAVIDSON - 001950,Davidson - 001950,53,real_secondary,0.43208469,0.43208469,0.432085,-3.1e-07,11745848.0154,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\002_state_house_davidson_001950
2,state_house_2022,state_house,2022,DAVIDSON - 001950,Davidson - 001950,13,sliver,0.00061466,0.00061466,0.000615,-3.4e-07,16709.0206,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\002_state_house_davidson_001950
2,state_house_2022,state_house,2022,DAVIDSON - 001950,Davidson - 001950,55,sliver,0.00035072,0.00035072,0.000351,-2.8e-07,9534.1548,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\002_state_house_davidson_001950
3,congressional_2026,congressional,2026,DAVIDSON - 001898,Davidson - 001898,6,dominant,0.52143471,0.52143471,0.521435,-2.9e-07,4690881.0311,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\003_congressional_davidson_001898
3,congressional_2026,congressional,2026,DAVIDSON - 001898,Davidson - 001898,7,real_secondary,0.47856529,0.47856529,0.478565,2.9e-07,4305223.3405,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\003_congressional_davidson_001898
4,state_house_2022,state_house,2022,SHELBY - 008076,Shelby - 008076,96,dominant,0.30384463,0.30384463,0.303845,-3.7e-07,5445819.084,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\004_state_house_shelby_008076
4,state_house_2022,state_house,2022,SHELBY - 008076,Shelby - 008076,83,real_secondary,0.3022254,0.3022254,0.302225,4e-07,5416797.5456,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\004_state_house_shelby_008076
4,state_house_2022,state_house,2022,SHELBY - 008076,Shelby - 008076,95,real_secondary,0.27524212,0.27524212,0.275242,1.2e-07,4933175.1171,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\004_state_house_shelby_008076
4,state_house_2022,state_house,2022,SHELBY - 008076,Shelby - 008076,97,real_secondary,0.11868785,0.11868785,0.118688,-1.5e-07,2127246.9843,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\004_state_house_shelby_008076
5,state_house_2022,state_house,2022,DAVIDSON - 001898,Davidson - 001898,50,dominant,0.56518766,0.56518766,0.565188,-3.4e-07,5084487.1783,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\005_state_house_davidson_001898
5,state_house_2022,state_house,2022,DAVIDSON - 001898,Davidson - 001898,56,real_secondary,0.43262969,0.43262969,0.43263,-3.1e-07,3891981.8693,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\005_state_house_davidson_001898
5,state_house_2022,state_house,2022,DAVIDSON - 001898,Davidson - 001898,54,sliver,0.0019585,0.0019585,0.001959,-5e-07,17618.8726,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\005_state_house_davidson_001898
5,state_house_2022,state_house,2022,DAVIDSON - 001898,Davidson - 001898,59,sliver,0.00022415,0.00022415,0.000224,1.5e-07,2016.4513,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\005_state_house_davidson_001898
6,state_house_2022,state_house,2022,MAURY - 005951,Maury - 005951,64,dominant,0.71776075,0.71776075,0.717761,-2.5e-07,30598792.6661,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\006_state_house_maury_005951
6,state_house_2022,state_house,2022,MAURY - 005951,Maury - 005951,71,real_secondary,0.28216532,0.28216532,0.282165,3.2e-07,12028963.6249,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\006_state_house_maury_005951
